zip_code,cluster
12028,rossi
12029,verde_fwa
12030,gialli
12030,rossi
12030,verde_ftth
12030,verde_fwa
12031,verde_fwa
12032,gialli
12033,verde_fwa
12034,verde_fwa
12035,gialli
12036,verde_ftth
12037,verde_fwa
12038,verde_fwa
12039,gialli
12040,gialli
12040,verde_ftth
12040,verde_fwa
12041,verde_ftth
12042,rossi
12043,verde_fwa
12044,verde_fwa
12045,verde_ftth
12046,verde_fwa
12047,verde_fwa
12048,verde_fwa
12049,gialli
12050,gialli
12050,rossi
12050,verde_ftth
12050,verde_fwa
12051,verde_fwa
12052,verde_fwa
12053,gialli
12054,gialli
12055,verde_fwa
12056,verde_fwa
12058,verde_fwa
12060,gialli
12060,rossi
12060,verde_ftth
12060,verde_fwa
12061,verde_ftth
12062,gialli
12063,verde_ftth
12064,gialli
12065,gialli
12066,verde_fwa
12068,verde_ftth
12069,verde_fwa
12070,gialli
12070,rossi
12070,verde_ftth
12070,verde_fwa
12071,verde_fwa
12072,verde_ftth
12073,gialli
12073,verde_fwa
12074,gialli
12074,rossi
12075,verde_fwa
12076,gialli
12077,verde_ftth
12078,verde_fwa
12079,verde_ftth
12080,gialli
12080,rossi
12080,verde_ftth
12080,verde_fwa
12081,gialli
12082,rossi
12083,gialli
12084,verde_ftth
12087,rossi
12088,verde_fwa
12089,verde_ftth
12100,gialli
13010,verde_ftth
13010,verde_fwa
13011,verde_fwa
13012,verde_ftth
13017,verde_ftth
13018,gialli
13019,verde_ftth
13020,rossi
13020,verde_ftth
13021,rossi
13022,verde_ftth
13023,verde_ftth
13024,verde_ftth
13025,verde_ftth
13026,verde_ftth
13027,verde_ftth
13028,verde_ftth
13029,verde_ftth
13030,gialli
13030,verde_ftth
13031,verde_ftth
13032,verde_ftth
13033,verde_ftth
13034,verde_ftth
13035,verde_ftth
13036,verde_ftth
13037,gialli
13038,verde_ftth
13039,verde_fwa
13040,verde_ftth
13040,verde_fwa
13041,verde_ftth
13043,verde_fwa
13044,verde_fwa
13045,verde_ftth
13045,verde_fwa
13046,verde_ftth
13047,verde_ftth
13048,verde_fwa
13049,verde_ftth
13060,verde_ftth
13100,gialli
13811,verde_ftth
13812,verde_ftth
13814,verde_ftth
13815,verde_ftth
13816,verde_ftth
13816,verde_fwa
13817,verde_ftth
13818,verde_ftth
13821,verde_ftth
13823,verde_ftth
13824,verde_ftth
13831,verde_ftth
13833,verde_ftth
13835,verde_ftth
13836,verde_ftth
13841,verde_ftth
13843,verde_ftth
13844,verde_ftth
13845,verde_ftth
13847,verde_ftth
13848,verde_ftth
13851,verde_ftth
13853,gialli
13854,verde_ftth
13855,verde_ftth
13856,verde_ftth
13861,verde_ftth
13862,verde_fwa
13863,verde_ftth
13864,verde_ftth
13865,verde_ftth
13866,verde_ftth
13867,verde_ftth
13868,verde_ftth
13871,verde_ftth
13872,verde_ftth
13873,verde_ftth
13874,verde_ftth
13875,verde_ftth
13876,verde_fwa
13877,gialli
13878,verde_ftth
13881,verde_ftth
13882,verde_ftth
13883,verde_ftth
13884,verde_ftth
13885,verde_ftth
13886,verde_ftth
13887,verde_ftth
13888,verde_ftth
13891,verde_ftth
13893,verde_ftth
13894,verde_ftth
13895,verde_ftth
13896,verde_ftth
13897,verde_ftth
13898,verde_ftth
13899,verde_ftth
13900,gialli
14010,gialli
14010,rossi
14010,verde_ftth
14010,verde_fwa
14011,verde_fwa
14012,verde_ftth
14013,gialli
14013,verde_fwa
14014,verde_ftth
14015,gialli
14016,gialli
14017,verde_ftth
14018,gialli
14018,rossi
14019,gialli
14020,gialli
14020,rossi
14020,verde_ftth
14020,verde_fwa
14021,verde_ftth
14022,gialli
14022,verde_fwa
14023,gialli
14024,gialli
14025,gialli
14025,rossi
14026,gialli
14026,rossi
14030,gialli
14030,rossi
14030,verde_ftth
14030,verde_fwa
14031,verde_ftth
14031,verde_fwa
14032,verde_ftth
14033,rossi
14034,verde_fwa
14035,gialli
14036,verde_ftth
14037,gialli
14039,gialli
14040,gialli
14040,verde_ftth
14041,verde_fwa
14042,gialli
14042,verde_ftth
14043,gialli
14044,gialli
14044,verde_ftth
14045,verde_fwa
14046,rossi
14047,verde_ftth
14048,verde_ftth
14049,gialli
14049,verde_fwa
14050,gialli
14050,rossi
14051,gialli
14051,rossi
14052,verde_ftth
14053,verde_fwa
14054,gialli
14055,verde_ftth
14057,gialli
14058,rossi
14059,gialli
14100,gialli
15010,gialli
15010,rossi
15010,verde_ftth
15010,verde_fwa
15011,verde_fwa
15012,gialli
15013,rossi
15015,verde_fwa
15016,gialli
15017,gialli
15018,verde_fwa
15019,verde_fwa
15020,gialli
15020,rossi
15020,verde_ftth
15020,verde_fwa
15021,verde_ftth
15022,verde_ftth
15023,verde_fwa
15024,verde_ftth
15025,verde_ftth
15026,gialli
15026,verde_ftth
15027,gialli
15028,gialli
15029,rossi
15030,gialli
15030,rossi
15030,verde_ftth
15031,verde_ftth
15032,rossi
15033,verde_fwa
15034,rossi
15035,verde_ftth
15036,gialli
15037,gialli
15038,verde_ftth
15039,verde_fwa
15040,gialli
15040,rossi
15040,verde_fwa
15041,gialli
15042,gialli
15043,verde_fwa
15044,gialli
15045,gialli
15046,gialli
15047,verde_ftth
15048,rossi
15049,gialli
15050,gialli
15050,rossi
15050,verde_ftth
15050,verde_fwa
15051,rossi
15051,verde_ftth
15052,verde_ftth
15053,verde_fwa
15054,rossi
15055,gialli
15056,gialli
15056,verde_ftth
15057,gialli
15058,verde_ftth
15059,verde_fwa
15060,gialli
15060,rossi
15060,verde_ftth
15060,verde_fwa
15061,verde_fwa
15062,gialli
15063,gialli
15064,verde_ftth
15065,verde_fwa
15066,verde_ftth
15067,verde_ftth
15068,gialli
15069,verde_fwa
15070,gialli
15070,verde_ftth
15071,verde_fwa
15072,verde_ftth
15073,gialli
15074,gialli
15075,verde_ftth
15076,gialli
15077,verde_fwa
15078,verde_fwa
15079,verde_fwa
15121,gialli
15122,gialli
16010,gialli
16010,rossi
16010,verde_ftth
16010,verde_fwa
16011,gialli
16012,verde_fwa
16013,verde_fwa
16014,gialli
16014,verde_fwa
16015,verde_fwa
16016,verde_fwa
16017,verde_fwa
16018,gialli
16019,verde_fwa
16020,verde_ftth
16021,gialli
16022,gialli
16023,verde_ftth
16024,gialli
16025,rossi
16025,verde_ftth
16026,gialli
16027,rossi
16028,rossi
16029,verde_fwa
16030,gialli
16030,verde_fwa
16031,gialli
16031,verde_fwa
16032,verde_fwa
16033,gialli
16034,verde_fwa
16035,verde_fwa
16036,gialli
16036,verde_fwa
16038,verde_fwa
16039,verde_fwa
16040,gialli
16040,verde_fwa
16041,gialli
16042,verde_fwa
16043,verde_fwa
16044,verde_fwa
16045,gialli
16046,gialli
16047,verde_fwa
16048,rossi
16049,rossi
16121,gialli
16122,gialli
16123,gialli
16124,gialli
16125,gialli
16126,gialli
16127,gialli
16128,gialli
16129,gialli
16131,gialli
16132,gialli
16133,gialli
16134,gialli
16135,gialli
16136,gialli
16137,gialli
16138,gialli
16139,gialli
16141,gialli
16142,gialli
16143,gialli
16144,gialli
16145,gialli
16146,gialli
16147,gialli
16148,gialli
16149,gialli
16151,gialli
16152,gialli
16153,gialli
16154,gialli
16155,gialli
16156,gialli
16157,gialli
16158,gialli
16159,gialli
16161,gialli
16162,gialli
16163,gialli
16164,gialli
16165,gialli
16166,gialli
16167,gialli
17010,rossi
17010,verde_ftth
17011,verde_fwa
17012,gialli
17013,verde_fwa
17014,verde_fwa
17015,verde_fwa
17017,gialli
17017,verde_ftth
17017,verde_fwa
17019,gialli
17020,gialli
17020,rossi
17020,verde_fwa
17021,verde_fwa
17022,verde_fwa
17023,verde_fwa
17024,verde_fwa
17025,verde_fwa
17026,gialli
17027,gialli
17027,verde_fwa
17028,verde_fwa
17030,rossi
17031,verde_fwa
17032,verde_fwa
17033,gialli
17033,verde_fwa
17034,gialli
17035,verde_fwa
17037,gialli
17037,verde_ftth
17038,verde_fwa
17039,rossi
17040,verde_fwa
17041,verde_ftth
17042,gialli
17043,rossi
17043,verde_ftth
17044,gialli
17045,rossi
17045,verde_ftth
17046,verde_fwa
17047,gialli
17047,verde_fwa
17048,gialli
17051,verde_fwa
17052,verde_fwa
17053,verde_fwa
17054,gialli
17055,verde_fwa
17056,verde_fwa
17057,verde_ftth
17057,verde_fwa
17058,verde_ftth
17100,gialli
18010,gialli
18010,rossi
18010,verde_fwa
18011,gialli
18012,gialli
18012,verde_fwa
18013,verde_fwa
18014,verde_fwa
18015,gialli
18016,verde_fwa
18017,gialli
18017,verde_fwa
18018,verde_fwa
18019,verde_fwa
18020,gialli
18020,verde_ftth
18020,verde_fwa
18021,verde_ftth
18022,verde_ftth
18023,verde_ftth
18024,verde_ftth
18025,rossi
18025,verde_ftth
18026,gialli
18026,rossi
18026,verde_fwa
18027,verde_fwa
18028,gialli
18030,gialli
18030,rossi
18030,verde_fwa
18031,verde_fwa
18032,verde_fwa
18033,verde_fwa
18034,verde_fwa
18035,gialli
18036,verde_fwa
18037,gialli
18038,gialli
18039,verde_fwa
18100,gialli
19010,gialli
19011,verde_fwa
19012,verde_ftth
19013,gialli
19014,verde_fwa
19015,verde_fwa
19016,verde_fwa
19017,verde_fwa
19018,gialli
19020,gialli
19020,verde_ftth
19020,verde_fwa
19021,gialli
19025,verde_ftth
19028,gialli
19031,gialli
19032,gialli
19033,verde_fwa
19034,verde_fwa
19037,gialli
19038,verde_fwa
19121,gialli
19122,gialli
19123,gialli
19124,gialli
19125,gialli
19126,gialli
19131,gialli
19132,gialli
19133,gialli
19134,gialli
19135,gialli
19136,gialli
19137,gialli
20001,rossi
20002,verde_fwa
20003,verde_ftth
20004,verde_ftth
20005,verde_fwa
20006,verde_fwa
20007,verde_ftth
20008,verde_fwa
20009,verde_ftth
20010,verde_ftth
20010,verde_fwa
20011,rossi
20012,verde_fwa
20013,rossi
20014,gialli
20015,gialli
20016,verde_ftth
20017,gialli
20018,gialli
20019,verde_ftth
20020,rossi
20020,verde_ftth
20020,verde_fwa
20021,gialli
20021,verde_ftth
20022,verde_fwa
20023,gialli
20024,gialli
20025,gialli
20026,gialli
20027,verde_fwa
20028,verde_ftth
20029,verde_fwa
20030,verde_ftth
20031,gialli
20032,verde_ftth
20033,gialli
20034,verde_fwa
20035,verde_fwa
20036,verde_ftth
20037,gialli
20038,rossi
20039,verde_fwa
20040,gialli
20041,gialli
20042,gialli
20043,verde_ftth
20044,verde_ftth
20045,verde_fwa
20046,verde_fwa
20047,gialli
20048,gialli
20049,gialli
20050,verde_fwa
20051,gialli
20052,verde_fwa
20053,verde_fwa
20054,verde_ftth
20055,verde_ftth
20056,gialli
20056,verde_fwa
